Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 3 - GERENCIAL;8632;BOM-3403 JOGO DE FERRAMENTAS 5 PCS MARTELO ESTILETE CHAVE TESTE;UN;82059000;1,00;0,00;0,00;2,74;18,00;2,74;18,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;468;BF-777S CONJUNTO DE RADIO COMUNICADOR WALK TALK (2 PECAS);UN;85171410;-8,00;0,00;0,00;8,86;121,00;-70,88;-968,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;1281;BMG-61 SUPORTE PARA MOTO;UN;39269090;-20,00;0,00;0,00;1,39;15,50;-27,80;-310,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;7610;S50201-PULSEIRA;UN;71171900;-10,00;0,00;0,00;3,15;21,00;-31,50;-210,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8880;LUX222-041  KIT COM 6 DECORAÇÃO DE UNHAS FOLHAS DE OURO E VARIADOS;UN;82142000;18,00;0,00;0,00;0,56;4,00;10,08;72,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8881;LUX222-041  KIT COM 6 DECORAÇÃO DE UNHAS;UN;82142000;28,00;0,00;0,00;0,70;4,50;19,60;126,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8939;BM-F1117 ESTANTE/CARRINHO AUXILIAR ORGANIZADOR MULTIUSO 4 ANDARES MULTIUSO;UN;94032090;4,00;0,00;0,00;13,39;78,00;53,56;312,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8940;BMG-30 SUPORTE PARA MONITOR;UN;39269090;1,00;0,00;0,00;4,92;154,00;4,92;154,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8952;BOM-1210 CHAVE DE RODA CRUZ 4 BOCAS 17-19-21-23 MM;UN;82041100;20,00;0,00;0,00;8,00;36,50;160,00;730,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8953;BOM-1284 CHAVE INGLESA AJUSTAVEL - 6;UN;82041200;72,00;0,00;0,00;1,50;13,00;108,00;936,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;8970;BOM-1287 CHAVE INGLESA AJUSTAVEL - 12;UN;82041200;92,00;0,00;0,00;5,05;30,00;464,60;2760,00
