Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Saldo_Total;Custo_Unit;Preco_Unit;Valor_Estoque_Total
"3";"***SSD 240GB GOLDENTEC SATA";"UN";"84717040";10,00;0,00;0,00;10,00;80,00;3,00;800,00
"7";"***IMP TERMICA GT USB ETHERNET";"UN";"84433299";14,00;0,00;0,00;14,00;372,00;0,00;5.208,00
"8";"***MODULO FISCAL ELET MFE TANCA CFE TM1000+";"UN";"84718000";13,00;0,00;0,00;13,00;500,00;0,00;6.500,00
"9";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"UN";"85423120";13,00;0,00;0,00;13,00;6,33;0,00;82,29
"10";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"UN";"85423120";10,00;0,00;0,00;10,00;149,00;100,00;1.490,00
"13";"***TEC USB GT SLIM GT950 PRETO";"UN";"84716052";17,00;0,00;0,00;17,00;24,93;0,00;423,81
"14";"***GAB GT S F P1T1C GTM11 PRETO";"UN";"84733011";11,00;0,00;0,00;11,00;113,92;0,00;1.253,12
"15";"***COOLER CPU GT 1150 1151 1155 1156 3";"UN";"84733090";11,00;0,00;0,00;11,00;30,61;0,00;336,71
"16";"***MON 21 5 60HZ HD GOLDENTEC";"UN";"85285200";5,00;0,00;0,00;5,00;428,58;0,00;2.142,90
"17";"***MOUSE GT OPTICO 1200 PRETO";"UN";"84716053";19,00;0,00;0,00;19,00;5,00;0,00;95,00
"18";"***PLACA S1150 H81 DDR3 GT BULK";"UN";"84733041";11,00;0,00;0,00;11,00;271,78;0,00;2.989,58
"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";"UN";"85423120";1,00;0,00;0,00;1,00;306,86;0,00;306,86
"20";"***FONTE 230W ATX BC BULK";"UN";"85044021";11,00;0,00;0,00;11,00;72,70;0,00;799,70
"21";"***MON 21 5 60HZ HD GOLDENTEC";"UN";"85285200";8,00;0,00;0,00;8,00;482,26;0,00;3.858,08
"22";"***LEITOR COD BARRAS USB 1D GT";"UN";"84719012";6,00;0,00;0,00;6,00;140,23;0,00;841,38
"23";"6106 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO";"UN";"42022210";6,00;0,00;0,00;6,00;1,32;104,00;7,92
"24";"6124 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL 100% POLIESTER";"UN";"42022210";11,00;0,00;0,00;11,00;1,83;96,00;20,13
"26";"0831 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE";"UN";"42022210";47,00;0,00;0,00;47,00;1,36;120,00;63,92
"27";"0605 - BOLSA DE PLASTICO (PU) SEM MARCA ACONDICIONADAS EM CAIXAS COM 60 PECAS";"UN";"42022210";56,00;0,00;0,00;56,00;1,00;96,00;56,00
"29";"06020- BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO";"UN";"42022210";600,00;0,00;0,00;600,00;1,40;0,00;840,00
"30";"F0017 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 84 PECAS";"UN";"42022210";7,00;0,00;0,00;7,00;1,28;120,00;8,96
"32";"6020 - BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO";"UN";"42022210";23,00;0,00;0,00;23,00;0,94;56,00;21,62
"33";"6037 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO";"UN";"42022210";3,00;0,00;0,00;3,00;1,40;104,00;4,20
"34";"F002 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 48 PECAS";"UN";"42022210";14,00;0,00;0,00;14,00;1,17;104,00;16,38
"35";"06033 - BOLSA DE PLCSTICO SEM MARCA ACONDICIONADO EM CAIXAS COM 15";"UN";"42022210";65,00;0,00;0,00;65,00;0,89;104,00;57,85
"36";"EROO A FEMININA MATERIAL PLASTICO PU";"UN";"42022210";24,00;0,00;0,00;24,00;1,23;104,00;29,52
"37";"0840 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER MATERIAL PLASTICO";"UN";"42022210";48,00;0,00;0,00;48,00;0,97;104,00;46,56
"38";"6036 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL PU";"UN";"42029200";22,00;0,00;0,00;22,00;1,17;104,00;25,74
"39";"0082 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";117,00;0,00;0,00;117,00;10,19;88,00;1.192,23
"40";"6030 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO";"UN";"42022210";3,00;0,00;0,00;3,00;1,40;104,00;4,20
"43";"F0006 - BOLSA RED ROSA";"UN";"42022210";2,00;0,00;0,00;2,00;1,51;128,00;3,02
"45";"6133 - BOLSA PEQUENA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO";"UN";"42022210";3,00;0,00;0,00;3,00;1,32;120,00;3,96
"47";"2462 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";5,00;0,00;0,00;5,00;2,37;56,00;11,85
"48";"2461 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";14,00;0,00;0,00;14,00;0,90;56,00;12,60
"49";"6165 - BOLSA DE OMBRO FEMININA MATERIAL PU COM DIVERSOS COMPARTIMENTOS";"UN";"42029200";10,00;0,00;0,00;10,00;1,82;120,00;18,20
"51";"2410 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER 2";"UN";"42022210";76,00;0,00;0,00;76,00;1,03;128,00;78,28
"52";"F031 - BOLSA FEMININA MATERIAL PLASTICO PU";"UN";"42022210";6,00;0,00;0,00;6,00;1,26;120,00;7,56
"53";"2414 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";1,00;0,00;0,00;1,00;1,31;104,00;1,31
"55";"2413 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";2,00;0,00;0,00;2,00;15,60;104,00;31,20
"56";"6180 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL 100% POLIESTER";"UN";"42022210";62,00;0,00;0,00;62,00;1,09;104,00;67,58
"57";"2418 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";5,00;0,00;0,00;5,00;1,23;89,60;6,15
"59";"2420 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42029200";251,00;0,00;0,00;251,00;1,54;104,00;386,54
