Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Deficit_Total_Pecas;Custo_Unit;Preco_Unit;Valor_Total_Deficit;Motivo
"10161";"KA-5943 - KIT ESTOJO DE COSTURA LINHAS E AGULHAS";"UN";"39231010";-26,00;0,00;0,00;26,00;0,83;5,50;21,58;"Sem doador de mesmo NCM com saldo no Grupo 1"
"10310";"TINTA SPRAY KOLORE FASHION 125ML 24 UNID CORES VARIADAS";"UN";"32139000";-28,00;0,00;0,00;28,00;4,00;9,10;112,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"12362";"C/5 - 30411555 PILHA DE LITIO KODAK MAX LITHIUM CR 2016 EMB";"UN";"85065010";-32,00;0,00;0,00;32,00;4,17;3,50;133,44;"Sem doador de mesmo NCM com saldo no Grupo 1"
"21447";"IGNORA E USAR 24696  -  3100 FILAMENTO RECARGA DE ABS PARA CANETA 3D";"UN";"39169010";-24,00;0,00;0,00;24,00;1,00;5,00;24,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"22594";"MY-7327 MINI SOM ASTRONAUTA CX-60";"UN";"85189010";-23,00;0,00;0,00;23,00;36,00;36,00;828,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"25522";"8805 ISQUEIRO  ELETRICO";"UN";"85113020";-68,00;0,00;0,00;68,00;2,00;14,50;136,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"26781";"ST-06 SMART TAG BLEUTOOTH - CERIFICADO";"UN";"85269100";-12,00;0,00;0,00;12,00;4,93;37,50;59,16;"Sem doador de mesmo NCM com saldo no Grupo 1"
"26782";"ST-05 SLING TAG- DISPOSITIVO LOCALIZADOR";"UN";"85269100";-20,00;0,00;-80,00;100,00;4,93;37,50;493,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"28705";"46257 IRRIGADOR ORAL";"UN";"84248910";-9,00;0,00;0,00;9,00;3,00;34,00;27,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"32041";"NEW-215 - MODELADOR CORPORAL FEMININO EM POLIESTER E ELASTANO";"UN";"62123000";-11,00;0,00;0,00;11,00;6,30;80,00;69,30;"Sem doador de mesmo NCM com saldo no Grupo 1"
"33864";"OIF-7560 CHAPEU COM VENTILADOR:";"UN";"65069900";-7,00;0,00;0,00;7,00;4,89;67,00;34,23;"Sem doador de mesmo NCM com saldo no Grupo 1"
"34265";"VPL-3002 CAMERA DE CARRO";"UN";"84254990";-1,00;0,00;0,00;1,00;0,00;145,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39147";"B39 BLUSA BRASIL AMARELA TAMANHO ÚNICO";"UN";"61059000";-15,00;0,00;0,00;15,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39187";"B13 BLUSA BRASIL VERDE TAMANHO ÚNICO";"UN";"61059000";-2,00;0,00;0,00;2,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39188";"B41 BLUSA BRASIL AMARELA TAM G";"UN";"61059000";-12,00;0,00;0,00;12,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39189";"B20 BLUSA BRASIL VERDE TAM G";"UN";"61059000";-5,00;0,00;0,00;5,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39190";"B15 BLUSA BRASIL BRANCA TAM G";"UN";"61059000";-7,00;0,00;0,00;7,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39191";"B-13 BLUSA BRASIL AZUL TAM G";"UN";"61059000";-1,00;0,00;0,00;1,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39192";"B19 BLUSA BRASIL BRANCA TAM M";"UN";"61059000";-4,00;0,00;0,00;4,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39195";"B28 BLUSA BRASIL VERDE TAM M";"UN";"61059000";-19,00;0,00;0,00;19,00;0,00;22,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"39196";"B23 BLUSA BRASIL AZUL TAM M";"UN";"61059000";-12,00;0,00;0,00;12,00;0,00;27,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
"18427";"P2016-2  G MOCHILA  CORO SINTEDICO JOGO TECIDO";"UN";"39095029";0,00;0,00;-1,00;1,00;37,20;390,00;37,20;"Sem doador de mesmo NCM com saldo no Grupo 1"
"31403";"LWJ-1953 KIT DE BROCAS ESCALONADAS EM ACO ACONDICIONADAS EM ESTOJO ORGANIZADOR";"UN";"82075090";0,00;0,00;-40,00;40,00;0,00;46,00;0,00;"Sem doador de mesmo NCM com saldo no Grupo 1"
