Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"1";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-33,00;0,00;0,00;33,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"2";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"5";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-34,00;0,00;0,00;34,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"9";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"25";"0829 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"28";"0604 - BOLSA DE PLASTICO (PU) SEM MARCA ACONDICIONADAS EM CAIXAS COM 60 PECAS";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"41";"06052 - BOLSA FEMININA MATERIAL PLASTICO PU";"42022210";-148,00;0,00;0,00;148,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"50";"6171 - BOLSA DE OMBRO FEMININA MATERIAL PU COM DIVERSOS COMPARTIMENTOS";"42029200";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"54";"2415 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"58";"0842 - BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
