Codigo;Descrição;10% do valor de venda;NCM;Unidade de medida {UN};Quantidade
"10161";"KA-5943 - KIT ESTOJO DE COSTURA LINHAS E AGULHAS";0,55;"39231010";"UN";30
"10310";"TINTA SPRAY KOLORE FASHION 125ML 24 UNID CORES VARIADAS";0,91;"32139000";"UN";30
"12362";"C/5 - 30411555 PILHA DE LITIO KODAK MAX LITHIUM CR 2016 EMB";0,35;"85065010";"UN";35
"21447";"IGNORA E USAR 24696  -  3100 FILAMENTO RECARGA DE ABS PARA CANETA 3D";0,50;"39169010";"UN";25
"22594";"MY-7327 MINI SOM ASTRONAUTA CX-60";3,60;"85189010";"UN";25
"25522";"8805 ISQUEIRO  ELETRICO";1,45;"85113020";"UN";70
"26781";"ST-06 SMART TAG BLEUTOOTH - CERIFICADO";3,75;"85269100";"UN";15
"26782";"ST-05 SLING TAG- DISPOSITIVO LOCALIZADOR";3,75;"85269100";"UN";100
"28705";"46257 IRRIGADOR ORAL";3,40;"84248910";"UN";10
"32041";"NEW-215 - MODELADOR CORPORAL FEMININO EM POLIESTER E ELASTANO";8,00;"62123000";"UN";15
"33864";"OIF-7560 CHAPEU COM VENTILADOR:";6,70;"65069900";"UN";10
"34265";"VPL-3002 CAMERA DE CARRO";14,50;"84254990";"UN";5
"39147";"B39 BLUSA BRASIL AMARELA TAMANHO ÚNICO";2,70;"61059000";"UN";15
"39187";"B13 BLUSA BRASIL VERDE TAMANHO ÚNICO";2,70;"61059000";"UN";5
"39188";"B41 BLUSA BRASIL AMARELA TAM G";2,70;"61059000";"UN";15
"39189";"B20 BLUSA BRASIL VERDE TAM G";2,70;"61059000";"UN";5
"39190";"B15 BLUSA BRASIL BRANCA TAM G";2,70;"61059000";"UN";10
"39191";"B-13 BLUSA BRASIL AZUL TAM G";2,70;"61059000";"UN";5
"39192";"B19 BLUSA BRASIL BRANCA TAM M";2,70;"61059000";"UN";5
"39195";"B28 BLUSA BRASIL VERDE TAM M";2,20;"61059000";"UN";20
"39196";"B23 BLUSA BRASIL AZUL TAM M";2,70;"61059000";"UN";15
"18427";"P2016-2  G MOCHILA  CORO SINTEDICO JOGO TECIDO";39,00;"39095029";"UN";5
"31403";"LWJ-1953 KIT DE BROCAS ESCALONADAS EM ACO ACONDICIONADAS EM ESTOJO ORGANIZADOR";4,60;"82075090";"UN";40
