Codigo	Descrição	10% do valor de venda	NCM	Unidade de medida {UN}	Quantidade
7203	HE-9509 ORGANIZADOR	R$ 3,40	44209000	UN	40
9313	BORRACHA STICH	R$ 1,75	40030000	UN	10
9357	2205-6 BORRACHA	R$ 2,45	40030000	UN	15
12346	C/1 - 30913080 PILHA ALCALINA 15 V XTRALIFE KODAK 9 V PACK EMB	R$ 1,75	85061011	UN	245
21125	DS13454 TAPETE ANTIDERRAPANTE	R$ 1,50	57019000	UN	80
22640	5286193 ADEREÇO DE CROCS VARIOS PERSONAGENS	R$ 0,20	83089010	UN	375
24600	ATB-0723 CR E CA TABLET INFANTIL´7	R$ 38,90	84713019	UN	5
26551	VTL-2003 MINI VENTILADOR RECARREGAVEL USB	R$ 7,75	84145190	UN	10
27347	SM088022 KIT COLAR E BRINCOS	R$ 1,30	68042119	UN	20
29415	ARTIGO DE UNHAS/ SOBRANCELHA - NCM:68042119 - MATRIZ	R$ 0,72	68042119	UN	135
30039	BOM-5642 - FERRAMENTA INTEGRADA DE ROSQUEAMENTO	R$ 1,15	82074010	UN	40
30044	BOM-5641 - FERRAMENTA INTEGRADA DE ROSQUEAMENTO	R$ 0,80	82074010	UN	5
30370	LWJ-1977 JOGO DE LIMAS AGULHA COM 12 PECAS	R$ 2,20	82031090	UN	15
32895	NP-08 -  BICICLETA ELETRICA 134222509200029	R$ 3,68	87116000	UN	1120
32898	NP-08 -  BICICLETA ELETRICA 134222509200075	R$ 3,68	87116000	UN	1120
38383	OIH-5452 FIO DENTAL	R$ 0,30	33062000	UN	50
39804	OIF-7251 BOLA SUÍÇA DE PILATES	R$ 4,90	95066900	UN	5
10161	KA-5943 - KIT ESTOJO DE COSTURA LINHAS E AGULHAS	R$ 0,55	39231010	UN	30
10310	TINTA SPRAY KOLORE FASHION 125ML 24 UNID CORES VARIADAS	R$ 0,91	32139000	UN	30
12362	C/5 - 30411555 PILHA DE LITIO KODAK MAX LITHIUM CR 2016 EMB	R$ 0,35	85065010	UN	35
21447	IGNORA E USAR 24696  -  3100 FILAMENTO RECARGA DE ABS PARA CANETA 3D	R$ 0,50	39169010	UN	25
22594	MY-7327 MINI SOM ASTRONAUTA CX-60	R$ 3,60	85189010	UN	25
25522	8805 ISQUEIRO  ELETRICO	R$ 1,45	85113020	UN	70
26781	ST-06 SMART TAG BLEUTOOTH - CERIFICADO	R$ 3,75	85269100	UN	15
26782	ST-05 SLING TAG- DISPOSITIVO LOCALIZADOR	R$ 3,75	85269100	UN	100
28705	46257 IRRIGADOR ORAL	R$ 3,40	84248910	UN	10
32041	NEW-215 - MODELADOR CORPORAL FEMININO EM POLIESTER E ELASTANO	R$ 8,00	62123000	UN	15
33864	OIF-7560 CHAPEU COM VENTILADOR:	R$ 6,70	65069900	UN	10
34265	VPL-3002 CAMERA DE CARRO	R$ 14,50	84254990	UN	5
39147	B39 BLUSA BRASIL AMARELA TAMANHO ÚNICO	R$ 2,70	61059000	UN	15
39187	B13 BLUSA BRASIL VERDE TAMANHO ÚNICO	R$ 2,70	61059000	UN	5
39188	B41 BLUSA BRASIL AMARELA TAM G	R$ 2,70	61059000	UN	15
39189	B20 BLUSA BRASIL VERDE TAM G	R$ 2,70	61059000	UN	5
39190	B15 BLUSA BRASIL BRANCA TAM G	R$ 2,70	61059000	UN	10
39191	B-13 BLUSA BRASIL AZUL TAM G	R$ 2,70	61059000	UN	5
39192	B19 BLUSA BRASIL BRANCA TAM M	R$ 2,70	61059000	UN	5
39195	B28 BLUSA BRASIL VERDE TAM M	R$ 2,20	61059000	UN	20
39196	B23 BLUSA BRASIL AZUL TAM M	R$ 2,70	61059000	UN	15
18427	P2016-2  G MOCHILA  CORO SINTEDICO JOGO TECIDO	R$ 39,00	39095029	UN	5
31403	LWJ-1953 KIT DE BROCAS ESCALONADAS EM ACO ACONDICIONADAS EM ESTOJO ORGANIZADOR	R$ 4,60	82075090	UN	40
