Codigo;qtd
472;81
484;30
486;30
487;15
488;378
491;30
508;40
517;100
518;30
538;180
540;80
541;20
542;120
831;1
1191;50
1196;17
1199;40
1209;141
1223;17
1230;45
1245;40
1273;100
1281;50
1285;80
1288;125
1290;50
1292;31
1293;50
1294;20
1300;88
1304;100
1330;19
2089;80
3694;20
3713;40
3715;40
3718;60
3745;20
3747;60
3757;13
3759;85
3764;50
4393;20
4397;200
4451;18
4453;10
4457;35
4466;20
4476;10
4499;310
4517;36
4522;17
4543;100
4547;60
4562;30
4705;50
4826;48
4834;72
4867;80
5462;1
5497;50
5501;160
5764;30
6517;120
6877;50
7278;100
7296;120
7415;9
7730;24
7763;204
7836;22
7961;44
7966;22
7975;22
8040;12
8042;24
8125;15
8196;20
8381;101
8383;1
8387;240
8388;30
8394;45
8408;60
8409;240
8415;100
8421;40
8424;200
8431;60
8434;30
8437;72
8438;20
8457;144
8465;12
8468;36
8483;40
8498;20
8502;25
8503;20
8510;25
8523;70
8528;32
8534;30
8538;525
8549;84
8574;30
8576;88
8578;60
8582;140
8585;60
8586;140
8587;120
8588;250
8592;300
8593;99
8595;120
8597;60
8598;80
8602;10
8605;35
8616;100
8618;70
8621;30
8629;122
8637;60
8638;2
8641;78
8642;18
8644;120
8651;15
8666;2
8669;2
8717;50
8724;64
8739;671
8771;51
8927;24
8952;20
8982;30
8985;41
8993;36
9047;60
9067;6
9069;4
9071;91
9072;5
9077;5
9171;215
9172;426
9177;25
9178;5
9179;110
9181;6
9183;20
9200;1
9203;29
9204;8
9461;60
9472;48
9473;150
9483;1370
9484;39
9486;100
9487;159
9493;60
9494;60
9498;72
9500;30
9503;240
9505;120
9507;30
9509;50
9525;4
9527;499
9528;129
9529;80
9532;20
9542;120
9545;36
9549;90
9561;19
9586;24
9636;72
9687;36
9793;144
9845;91
9854;20
9861;84
9891;72
9897;60
9918;20
9931;120
9940;162
9967;100
9968;50
9971;100
9973;80
9980;85
9984;40
9992;15
9995;35
10005;6
10341;50
10342;36
10377;6
10382;88
10383;38
10402;36
10410;20
10449;12
10907;76
10944;103
10990;19
11038;14
