Codigo;qtd
8880;18
8881;28
8939;4
8940;1
8952;20
8953;72
8970;92
8972;28
8974;21
8980;17
8982;63
8986;89
8990;50
8993;12
9012;75
9016;10
9033;68
9036;41
9044;30
9047;28
9049;60
9061;88
9071;38
9075;12
9078;60
9080;15
9117;20
9170;35
9173;10
9177;32
9178;10
9203;30
9204;1
9213;3
9214;1
9345;1
9456;40
9461;10
9462;81
9472;48
9480;20
9483;6
9487;6
9491;72
9493;35
9494;60
9500;50
9505;91
9507;10
9525;80
9528;20
9532;1
9536;1
9542;60
9545;36
9550;60
9552;1
9556;1
9557;1
9562;30
9565;28
9567;40
9568;10
9570;40
9572;45
9573;25
9574;10
9575;4
9633;72
9636;23
9687;8
9804;47
9840;2
9865;30
9891;55
9894;2
9897;50
9898;55
9931;31
9944;6
9947;11
9949;1
9950;10
9973;35
9976;5
9984;20
9991;80
9992;1
9995;90
9996;35
9997;60
9998;4
9999;6
10000;6
10001;51
10005;39
10052;40
10107;60
10124;75
12644;70
13682;11
16108;4
16487;50
16491;8
16492;12
16493;15
16495;1
16496;4
16497;4
16498;15
16499;36
16501;5
16503;15
16504;30
16505;12
16507;29
16514;49
16515;54
16518;53
16522;63
16524;10
16526;66
16528;64
16530;52
16531;73
16534;3
16555;12
16560;30
16573;1
16574;1
16575;1
16578;1
16587;21
16590;6
16593;4
16596;5
16599;8
16608;37
16612;60
16615;24
16616;53
16621;29
16623;8
16625;21
16626;18
16627;60
16628;33
16630;2
16632;24
16633;11
16638;18
16639;15
16640;13
16641;15
16642;10
16643;91
16645;18
16646;8
16647;10
16648;15
16651;6
16653;30
16660;15
16661;18
16662;42
16663;15
16666;42
16667;30
16669;30
16670;15
16671;15
16672;15
16674;15
16679;30
16686;15
16687;30
16694;14
16697;12
16699;18
16703;42
16707;14
16712;18
16714;88
16717;15
16721;15
16723;15
16724;30
16726;15
16727;15
16737;15
16740;18
16742;23
16746;10
16749;20
16756;14
16762;10
16797;24
16799;20
16800;5
16801;23
16803;18
16807;20
17594;12
17595;37
17597;91
17598;1
17599;15
17600;12
17603;20
17605;30
17607;15
17608;25
17610;21
17611;7
17613;3
17614;14
17616;72
17618;3
17622;21
17623;1
17624;50
17625;1
17630;21
17631;20
17636;25
17637;5
17639;22
17640;12
17641;16
17644;5
17648;40
17650;31
17651;30
17652;29
17653;63
17659;4
17661;2
17663;48
17664;6
17665;6
17666;52
17667;7
17668;60
17669;20
17670;1
17671;78
17672;4
17673;50
17674;50
17675;3
17676;16
17677;88
17678;16
17682;24
17683;93
17687;73
17688;86
17690;24
17691;16
17694;49
17695;48
17696;47
17698;24
17701;24
17702;3
17703;3
17711;31
17712;5
17716;34
17718;25
17719;95
17723;3
17726;1
17728;36
17731;60
17734;35
17735;25
17736;1
17737;49
17738;2
17742;11
17743;49
17744;1
17745;40
17746;17
17747;19
17748;26
17752;72
17754;12
17759;45
17761;51
17762;11
17768;65
17770;6
17771;8
17772;52
17775;26
17776;67
17777;63
17779;16
17780;1
19451;10
21242;30
22135;1
22149;70
22151;8
22153;5
22154;5
22155;20
22156;13
22158;6
22160;24
22162;3
22166;15
22167;30
22169;19
22170;22
22171;20
22172;14
22173;30
22174;15
22186;13
22189;12
22203;2
22206;12
22210;6
22214;12
22216;11
22223;6
22227;24
22229;24
22234;20
22235;36
22237;88
22238;88
22247;24
22248;8
22253;4
22255;7
22265;24
22267;24
22271;60
22273;18
22279;36
22280;30
22300;24
22302;24
22318;24
22342;25
22352;3
22355;36
22357;60
22358;12
22361;6
22366;8
22369;84
22370;26
22371;24
22375;24
22376;12
22377;48
22378;8
22379;12
22381;48
22382;3
22383;12
22388;10
22390;24
22394;6
22401;1
22402;36
22403;1
22408;2
22412;70
22422;46
22423;25
22427;37
22437;9
22441;3
22442;24
22446;2
22450;20
22455;6
22456;80
23277;6
24067;70
24907;20
25506;200
26717;24
26928;200
28718;4
28719;27
28721;1
28722;25
28724;6
28726;9
28727;1
28728;2
28729;4
28731;6
28733;1
28734;4
28737;4
28739;1
28741;25
28743;4
28745;1
28746;1
28747;1
28749;8
28754;1
28762;1
28763;28
28764;4
28767;36
28770;2
28774;4
28776;36
28777;1
28778;1
28779;4
28780;1
28781;1
28783;1
28784;1
28785;3
28786;1
28787;1
28790;1
28791;80
28793;4
28795;24
28801;35
28803;24
28806;10
28810;24
28812;24
28813;24
28814;24
28815;24
28816;24
28817;24
28818;24
28820;24
28821;24
28822;24
28824;24
28825;24
28826;24
28827;24
28830;30
28831;24
28832;24
28833;24
28836;24
28837;24
28839;24
28841;24
28842;24
28843;24
28844;24
28845;24
28848;24
28849;24
28850;24
28851;24
28852;24
28853;24
28854;48
28855;24
28856;24
28857;24
28858;24
28859;24
28862;24
28863;60
28865;70
28873;24
28874;24
28875;24
28876;24
28877;24
28878;5
28880;24
28881;24
28882;100
28883;24
28890;5
28891;5
28893;10
28894;20
28897;80
28900;35
28901;35
28905;3
28919;3
28921;1
28923;10
28924;2
28925;2
28926;1
28929;36
28930;3
28931;5
28932;50
28948;72
28978;72
28979;10
28984;60
28986;24
28987;10
28988;10
28989;25
28992;4
28995;40
28998;21
29000;5
29007;1
29009;20
29010;20
29011;35
29012;90
29013;5
29014;90
29015;35
29016;1
29034;24
29038;60
29053;23
29058;37
29064;38
29078;10
29079;80
29080;40
29088;50
29097;30
29106;72
29108;48
29109;30
29111;72
29133;12
29137;10
29140;72
29163;20
29168;30
29170;44
29172;2
29173;40
29176;52
29177;90
29178;20
29179;32
29180;1
29183;1
29187;55
29196;70
29198;24
29201;24
29205;5
29206;3
29207;1
29243;10
29245;15
29246;25
29247;10
29248;7
29331;42
29335;4
29344;130
29369;1
29384;2
29435;30
29456;40
29476;12
29526;48
29527;24
29545;5
29551;40
29553;10
29559;1
29563;1
29566;50
29567;20
29597;1
29599;30
29600;50
29633;90
29634;20
29635;12
29643;36
29655;61
29677;96
29678;96
29679;72
29680;72
29752;30
29796;48
29802;36
29803;36
29804;60
29805;30
29807;48
29808;30
29811;1
29813;2
29814;30
29815;5
29819;1
29828;15
29830;15
29832;50
29846;30
29857;80
29859;20
29861;30
29866;70
29867;70
29870;40
29875;70
29880;1
29881;2
29882;2
29883;20
29898;14
29900;12
29901;18
29902;54
29903;14
29904;14
29905;32
29906;14
29907;14
