Codigo;qtd
2519;1
2525;7
2528;84
2530;29
2535;6
2552;2
2554;2
2557;11
2559;22
2564;33
2577;13
2592;11
2599;4
2603;18
2686;2
2689;23
2695;3
2700;30
2711;184
2719;18
2730;6
2734;51
2762;23
2810;26
4030;8
4031;1
4047;21
4057;26
4064;59
4079;16
4081;7
4102;75
4104;31
4105;7
4106;7
4113;1
4136;131
4138;8
4247;19
4283;2
4298;2
4443;14
6301;20
6304;7
6328;32
6330;20
6333;1
6334;16
6336;218
6337;26
6340;23
6344;29
6351;15
6361;11
6362;8
6368;21
6370;44
6373;32
6381;1
6382;3
6395;2
6404;15
6406;30
6417;43
6418;35
6432;16
6435;37
6436;2
6437;37
6440;42
9943;66
10300;119
10381;320
10508;384
10533;672
10678;432
10692;384
10704;300
10876;576
10887;150
10899;240
10905;1400
10951;384
10958;864
11213;14
11290;102
11497;180
11644;672
12635;9
13344;180
13352;540
13360;180
13363;12
13364;14
13431;480
13434;1392
13558;800
13560;480
13561;480
13563;420
13567;108
13568;81
13569;91
13570;2400
13571;800
13624;10100
13627;720
15052;168
16500;450
16516;492
16834;480
17259;60
17704;72
17706;96
17708;240
17746;36
17748;48
17756;2400
17789;48
17793;50
17819;11
18080;1520
18189;565
18195;384
18196;512
18198;512
18199;496
18200;528
18201;186
18202;180
18203;26
18204;180
18205;130
18206;240
18207;185
18208;187
18209;130
18210;4800
18686;85
18690;97
18705;141
18706;150
18711;97
18713;67
18715;94
18718;6
18723;288
18725;130
18728;148
18730;220
18733;180
18741;102
18742;43
19069;4
19364;400
19365;1250
19368;4100
19371;450
19374;252
19375;168
19377;200
19378;350
19379;264
19380;216
19395;96
19402;84
19653;12
19654;48
19912;240
19990;96
20002;7400
20009;84
20013;480
20014;360
20017;300
20018;288
20019;180
20020;280
20021;84
20022;112
20023;960
20024;1320
20026;1680
20027;2160
20032;1000
20034;1200
20036;1500
20038;8400
20039;2880
20040;120
20041;240
20044;800
20045;800
20050;720
20051;720
20052;1400
20053;400
20054;1400
20055;1400
20057;6800
20058;84
20059;36
20069;560
20158;1400
20161;14
20185;10
20251;48
20268;48
20272;5
20275;48
21003;88
22387;960
22727;228
22728;228
22747;56
22748;56
22749;56
22751;1152
22753;1152
22754;1056
22755;1056
22757;576
22758;384
22759;576
22760;576
22761;1200
22763;720
22764;1080
22765;1440
22858;3
23812;24
23815;560
23817;5
23818;15
23819;15
23823;516
23825;20
24398;240
24399;66
24425;415
24427;406
24428;339
24429;280
24430;670
24432;152
24434;25
24435;240
24438;30
24439;10
24441;516
24442;306
24446;78
24475;7
24476;34
24479;816
24483;659
24484;193
24485;198
24486;33
24491;80
24497;34
24498;2
24500;82
24501;62
24503;240
24504;11
24505;240
24508;480
24509;46
24511;580
24513;204
24516;64
24517;1200
24519;39
24520;252
24521;254
24522;320
24523;692
24524;23
24525;832
24527;288
24528;288
24530;810
24531;320
24533;288
24535;1120
24536;1248
24537;1096
24620;128
24621;126
24622;153
24623;128
24624;128
24625;128
24626;128
24627;128
24966;220
24967;331
24969;60
24971;979
24973;96
24974;445
24975;832
24977;174
24978;426
24999;24
25015;9
25017;1044
25034;792
25035;288
25036;288
25038;720
25039;720
25048;2
25055;480
25056;120
25057;480
25058;480
25059;480
25060;480
25061;480
25062;360
25063;5
25064;480
25065;480
25067;6
25068;240
25069;600
25070;12
25071;120
25072;240
25073;480
25076;9
25078;4
25150;2
25158;3
25788;41
25793;5
25796;3
25799;1
25882;1250
25919;30
25922;4
25923;105
25924;18
25927;6
25928;6
25930;320
25932;22
25936;600
25940;578
25941;259
25978;7
25989;52
25991;23
25994;39
25998;22
25999;144
26001;36
26009;4
26010;63
26015;41
26016;39
26017;58
26026;165
26028;200
26029;36
26035;1
26036;4
26037;5
26047;12
26050;48
26051;1
26053;9
26054;116
26055;7
26056;21
26057;20
26058;219
26059;11
26064;3
26065;72
26066;14
26067;237
26068;20
26071;33
26072;1
26073;3
26076;2
26082;24
26087;3
26089;4
26092;8
26094;6
26099;4
26102;6
26105;14
26108;74
26112;47
26114;3
26115;28
26117;11
26121;34
26133;20
26138;11
26142;3
26146;6
26150;2
26151;256
26154;4
26157;6
26170;29
26176;18
26177;16
26180;10
26189;7
26197;13
26200;13
26202;6
26205;1
26214;5
26219;51
26224;48
26233;13
26240;5
26245;1
26246;2
26247;4
26248;4
26249;3
26250;4
26251;1
26253;3
26255;3
26256;1
26257;2
26258;2
26326;6
26337;49
26377;2
26379;2
26380;5
26382;42
26461;188
26464;720
26465;620
26466;620
26467;2400
26468;1200
26469;470
26470;390
26471;400
26472;470
26473;460
26474;470
26475;460
26476;460
26477;480
26478;470
26479;460
26480;220
26481;380
26482;400
26483;400
26484;380
26485;380
26486;380
26487;200
26488;240
26489;376
26490;390
26491;400
26492;380
26493;400
26494;230
26495;460
26496;480
26497;180
26498;220
26499;470
26500;470
26501;470
26502;480
26503;1200
26505;100
26506;230
26507;220
26509;220
26510;219
26512;110
26513;110
26514;230
26515;470
26516;460
26517;470
26518;480
26519;4600
26668;7
26675;1
26679;3
26713;1
26771;1
26772;3
26773;42
26775;23
26780;41
26882;48
26883;19
26968;210
26977;139
26978;40
26981;210
26982;170
26984;210
26985;210
26986;210
26989;210
26990;210
26991;210
26992;210
26993;210
26994;210
26995;210
26997;210
26998;210
27000;210
27002;210
27003;210
27006;210
27007;528
27010;528
27012;528
27016;528
27018;528
27020;280
27025;170
27026;1050
27033;96
27036;91
27037;9
27038;11
27071;131
27076;60
27091;16
27092;144
27093;4
27094;197
27095;26
27096;72
27097;36
27099;72
27100;58
27270;240
27273;360
27290;22
27298;33
27299;8
27300;14
27303;4
27304;12
27305;8
27309;15
27450;576
27453;384
27454;240
27535;82
27538;16
27539;81
27541;43
27543;2
27549;149
27553;8
27555;48
27557;48
27562;192
27564;8
27566;48
27571;11
27583;11
27585;6
27590;3
27591;5
27601;55
27612;1
27615;1
27619;1
27626;70
27632;3
27633;72
27634;20
27638;72
27641;2
27645;33
27647;48
27658;34
27666;48
27668;144
27675;7
27680;5
27682;4
27685;3
27688;7
27690;9
27692;1
27698;1
27701;5
27703;16
27709;10
27710;4
27722;48
27725;48
27727;96
27729;48
27736;1
27737;4
27740;48
27744;9
27746;1
27751;2
27755;72
27756;72
27768;72
27772;48
27774;36
27775;6
27776;21
27778;77
27782;72
27785;72
27786;77
27790;24
27792;24
27800;24
28036;4
28391;72
28409;48
28411;36
28413;144
28427;528
28685;2160
28906;688
28979;1
28982;5
28984;120
28985;60
28986;48
28987;10
29076;369
29093;99
29324;2398
29526;24
29529;16
31729;2160
31730;120
31731;160
31732;120
31733;150
