Codigo;qtd
4875;227
8603;181
10415;198
10634;228
10857;230
11480;239
12220;233
12331;182
13332;188
13334;187
13349;182
13427;200
13499;240
13500;240
13501;240
13502;240
13510;200
13511;200
13512;240
13513;240
13514;240
13515;240
13516;200
13517;200
13518;200
13532;240
13533;230
13534;240
13535;200
13536;230
13537;240
13586;200
13594;198
13598;200
13742;233
13751;186
14075;200
14104;180
14359;185
14691;200
15432;229
15496;181
15506;231
16025;161
16150;229
16445;198
16624;180
16847;186
16923;200
17368;237
17443;229
17620;184
17704;182
17708;238
17721;199
17785;180
18010;182
18710;198
18795;181
18825;183
18899;185
19023;182
19638;186
19971;182
20037;184
20332;240
20713;181
22580;226
22585;186
22722;182
22763;182
22765;182
23985;185
25926;230
26497;238
26596;24
26597;20
26598;12
26617;186
26985;230
26986;240
26989;230
26994;240
26997;230
28471;230
28643;180
30181;198
31288;200
31291;200
31464;30
31465;30
31466;30
31467;30
31469;30
31470;30
31471;30
31472;30
31473;30
31474;30
31475;30
31476;30
31477;30
31478;30
31492;200
31510;1
31527;12
31658;20
31659;20
31660;20
31661;29
31662;29
31663;29
31664;29
31665;29
31666;29
31750;72
31752;72
31753;60
31755;50
31756;40
31757;40
31758;50
31759;40
31760;50
31761;40
31763;50
31861;50
31862;40
31863;50
31864;16
31865;16
31866;60
31867;50
31868;16
31869;50
31870;60
31871;16
31873;16
31886;12
31888;12
31890;12
31891;12
31892;12
31893;12
31894;12
31895;12
31896;24
31897;12
31898;12
31899;20
31900;20
31901;15
31902;15
31903;15
31904;15
31905;12
31906;12
31907;12
31908;12
31909;12
31910;12
31911;18
31912;12
31913;18
31914;15
31921;15
31922;12
31923;12
31924;12
31925;12
31926;18
31927;18
31928;12
31929;12
31930;18
31931;18
31932;18
31933;18
31935;18
31937;18
31938;18
31939;18
31941;12
31942;24
31943;18
