Codigo;qtd
1240;200
1302;12
1932;20
3985;24
4507;36
5076;137
5716;224
5730;21
6072;302
6939;32
6956;1
7161;14
8372;18
8396;12
8561;1
8696;20
8734;27
8754;12
8768;7
8799;30
8819;4
8987;37
9004;8
9031;14
9037;7
9115;3
9124;193
9174;10
9267;33
9450;1
9482;146
9487;949
9549;83
9556;48
9588;31
9607;10
9687;27
9726;170
9918;10
9928;4
9947;35
9952;13
9958;14
9959;5
9964;10
9983;39
9994;9
10048;20
10051;4
10211;122
10299;24
10342;40
10405;6
10408;57
10421;4
10422;10
10435;20
10451;51
10466;28
10503;10
10548;22
10569;15
10594;63
10630;24
10639;17
10669;59
10702;62
10716;5
10744;10
10754;17
10837;89
10838;200
10840;12
10842;10
10845;18
10850;85
10968;67
11007;12
11026;37
11042;10
11149;304
11171;1
11179;10
11193;5
11215;52
11218;65
11220;120
11226;9
11230;12
11232;246
11233;29
11236;11
11256;125
11260;67
11296;41
11297;19
11481;18
11504;36
11530;15
11619;10
11756;280
12077;30
12097;84
12106;71
12119;30
12225;3
12232;15
12271;30
12284;37
12315;6
12333;14
12428;12
12431;40
12475;12
12486;6
12514;48
12612;1
12693;55
12708;23
12746;30
12764;10
12970;1
12987;47
13011;17
13012;70
13058;21
13123;14
13362;11
13666;12
13667;36
13668;20
13679;270
13754;24
13759;16
13780;139
13800;24
13803;66
13804;84
13817;26
13821;27
13822;80
13823;35
13824;48
13825;32
13826;96
13827;96
13828;71
13829;48
13842;1
13849;8
13862;3
13865;48
13868;2
13931;1
13977;49
13979;34
14018;40
14043;39
14055;79
14066;240
14069;79
14080;30
14096;40
14102;20
14129;25
14134;20
14135;92
14194;7
14195;21
14245;4
14248;3
14345;23
14364;4
14368;36
14370;147
14372;24
14380;56
14404;26
14415;48
14443;50
14470;48
14471;222
14472;9
14474;95
14476;6
14483;220
14505;36
14548;5
14562;14
14566;10
14569;24
14986;9
15004;9
15044;11
15065;95
15089;99
15129;200
15134;2
15357;25
15363;11
15407;1
15414;1
15431;4
15452;28
15507;25
15645;24
15775;23
15785;6
15895;1
15994;29
15996;199
15997;1
16002;30
16026;35
16179;25
16231;1
16316;3
16361;12
16372;185
16375;1
16377;70
16417;50
16425;48
16431;30
16433;40
16591;22
16592;1
16593;32
16596;28
16606;11
16618;30
16622;10
16627;20
16698;336
16724;2
16739;14
16805;10
16811;10
16815;36
16817;1
16821;6
16848;36
16850;1
16915;8
16933;12
16944;53
16954;3
16957;2
16966;10
16983;4
17021;25
17072;4
17185;22
17219;18
17251;1
17308;20
17369;20
17376;10
17390;65
17395;6
17425;6
17436;23
17567;8
17580;7
17595;12
17596;115
17597;21
17603;156
17604;12
17608;22
17621;12
17624;19
17653;12
17666;1
17668;1
17671;30
17688;24
17691;16
17694;20
17711;36
17716;6
17752;24
17754;14
17768;15
17816;9
17857;1
17929;5
17936;30
17947;19
17950;31
17953;31
17967;17
17978;1
17980;64
17990;90
17992;28
18019;20
18025;100
18065;7
18073;24
18074;22
18127;25
18150;16
18285;24
18292;1
18356;39
18475;20
18718;53
18745;21
18820;341
18828;39
18836;1
18902;1
18911;30
18922;20
18924;117
19044;2
19172;149
19307;40
19354;35
19460;11
19473;20
19499;288
19502;200
19503;300
19505;300
19506;322
19508;241
19542;5
19586;20
19619;60
19633;5
19651;11
19783;10
19786;11
19788;13
19798;3
19954;1
20042;10
20066;90
20070;32
20287;14
20344;1
20364;1
20441;30
20578;31
20588;1
20590;4
20612;1
20641;47
20677;72
20724;24
20741;14
20751;10
20753;29
20755;94
20778;50
20780;20
21140;1
21146;20
21149;9
21177;13
21184;20
21310;28
21341;130
21510;30
21521;1
21525;31
21556;23
21654;42
21657;53
21739;2
21751;13
21764;35
21769;27
21782;9
21803;19
21828;55
21829;10
21847;14
21848;540
21853;5
21876;5
21884;60
21923;7
22043;1
22051;24
22209;9
22265;24
22280;30
22342;24
22355;13
22357;57
22358;12
22361;5
22369;80
22371;24
22377;24
22379;12
22381;24
22383;25
22384;11
22408;1
22422;23
22423;25
22427;36
22452;1
22456;100
22502;4
22654;9
22665;4
22707;4
22775;80
22823;15
22955;78
22966;6
22973;10
23002;19
23011;30
23031;44
23058;12
23069;5
23178;60
23182;26
23348;72
23399;44
23400;30
23404;24
23406;60
23418;36
23435;5
23479;14
23505;597
23593;144
23601;216
23695;12
23779;10
23796;5
23825;13
23837;1
23853;2
23881;7
23884;24
23915;24
23922;4
23928;3
23929;10
23956;44
23959;23
23963;31
23970;54
23971;72
23990;36
24037;13
24055;3
24067;17
24071;60
24079;7
24150;20
24198;8
24230;6
24296;12
24297;10
24304;88
24306;164
24573;60
24584;65
24585;18
24588;1
24598;91
24628;20
24764;25
24789;32
24803;33
24804;4
24821;15
24896;2
24929;4
24944;42
24946;47
24949;5
24951;49
24957;36
24961;18
25162;11
25189;20
25241;1
25273;4
25284;151
25351;9
25381;19
25391;15
25446;10
25478;2
25482;3
25506;25
25552;35
25593;144
25626;61
25651;10
25658;40
25677;60
25685;1
25769;24
25898;12
25907;12
25908;12
25918;35
25925;29
25937;2
25943;12
25948;17
25951;8
25953;47
25958;38
25960;40
25985;15
26263;10
26313;13
26333;16
26347;1
26376;15
26393;2
26451;61
26456;30
26504;90
26530;12
26532;40
26708;4
26753;30
26782;150
26805;22
26808;1
26814;2
26815;20
26817;21
26818;20
26822;18
26825;35
26826;9
26830;60
26848;210
26850;31
26863;1
26874;90
26893;20
26896;28
26908;11
26943;10
27013;10
27021;24
27070;135
27107;40
27109;30
27117;35
27120;16
27125;1
27128;74
27129;99
27130;3
27132;10
27134;10
27139;10
27142;26
27149;24
27151;465
27155;76
27164;33
27167;10
27172;24
27176;3
27225;12
27270;120
27339;20
27354;3
27356;1
27464;81
27477;1
27482;16
27483;1
27493;36
27507;20
27509;50
27591;19
27769;20
27777;25
27779;90
27787;20
27818;70
27836;1
27873;9
28033;15
28071;12
28098;1
28160;1
28223;60
28228;13
28242;66
28289;238
28349;10
28375;32
28455;4
28462;24
28465;71
