Codigo;qtd
4820;1
4879;4
4968;7
5549;1
7068;2
7296;73
8953;9
9345;1
9565;1
9761;1
9804;21
10887;1
12373;136
12421;1
12423;1
13479;3
13541;4
13552;1
13554;1
15417;1
16261;5
16336;9
16749;1
16951;1
17068;2
17085;2
17089;3
17275;1
17476;2
17854;1
17873;1
17879;1
17943;8
18075;1
18861;1
18898;1
19201;1
19204;1
19341;4
19351;1
19400;5
19474;1
20568;3
20758;1
21666;1
21680;1
21773;1
22482;1
22889;1
23386;1
24136;1
25030;1
25193;3
25399;1
26476;1
26489;54
26491;8
26512;1
26557;1
26585;1
26632;3
26652;34
26673;25
26676;28
26681;6
26702;3
26811;20
26928;4
26934;15
26981;2
27012;1
27017;3
27124;20
27374;1
27810;5
28155;5
28298;1
28319;9
28326;1
29106;3
29679;1
29870;1
29896;106
29941;1
29942;1
29994;2
30000;4
30021;6
30197;1
30297;8
30316;1
30431;1
30660;2
30675;1
30678;1
30705;2
30710;1
30721;1
31003;1
31006;3
31030;1
31031;1
31038;1
31152;1
31217;2
31987;3
31988;1
32103;1
32119;1
32344;3
32639;1
32695;1
32785;8
32846;1
32859;1
32877;282
33032;2
33145;1
33148;15
33149;6
33152;24
33163;18
33174;3
33178;3
33179;15
33180;15
33185;5
33186;2
33187;2
33188;1
33217;1
33226;6
33271;3
33273;1
33306;1
33323;1
33354;1
33359;1
33360;1
33436;10
33446;2
33447;3
33449;6
33451;2
33452;2
33454;1
33469;8
33472;12
33473;7
33474;8
33512;5
33528;2
33532;6
33537;4
33539;9
33540;1
33542;4
33576;1
33581;770
33582;156
33589;4
33591;2
33612;10
33619;6
33621;5
33627;9
33630;29
33634;5
33782;5
33783;7
33786;10
33792;9
33794;9
33795;15
33798;5
33800;10
33825;18
33828;1
33836;1
33838;11
33839;24
33841;10
33846;9
33855;6
33859;6
33870;1
33872;4
33887;3
33893;15
33895;12
34059;9
34095;2
34130;3
34131;3
34134;3
34150;1
34151;5
34152;5
34166;7
34168;10
34169;6
34170;36
34175;1
34195;8
34196;2
34197;6
34206;6
34217;13
34261;1
34263;1
34270;1
34271;11
34299;5
34300;16
34302;4
34303;5
34306;6
34309;2
34351;52
34354;42
34355;38
34359;6
34360;2
34361;3
34362;7
34374;6
34397;36
34398;20
34436;41
34437;120
34438;5
34440;8
34483;1
34521;26
34524;1
34525;1
34559;4
34560;1
34593;13
34594;47
34596;11
34597;15
34626;3
34628;1
34630;1
34631;1
34632;2
34635;1
34636;1
34637;1
34639;3
34640;2
34646;2
34647;1
34648;6
34649;1
34652;1
34654;3
34656;3
34662;2
34669;1
34682;6
34688;1
34691;1
34697;2
34701;1
34702;1
34709;4
34710;1
34715;2
34716;1
34717;1
34718;1
34723;1
34726;1
34727;2
34728;3
34729;2
34730;2
34731;1
34732;2
34733;2
34735;3
34737;1
34739;2
34740;2
34742;1
34747;1
34748;1
34749;1
34750;4
34751;5
34753;6
34754;5
34755;2
34756;1
34759;2
34761;2
34763;1
34764;2
34765;1
34766;2
35459;140
35963;10
35964;3
35968;7
35969;10
35972;17
36212;1
36213;2
36379;13
36416;3
36422;27
36472;2
36477;3
36499;2
36869;3
36883;6
36899;6
36909;8
36914;23
36926;5
36933;7
36935;6
36956;1
36982;5
37109;5
37156;1
37157;1
37161;1
37275;3
37290;1
37318;11
37319;20
37618;6
37668;2
37873;2
37888;1
37962;2
37970;2
38023;2067
38166;1
38169;4
38176;1
38233;1
38234;3
38235;1
38239;1
38242;1
38243;1
38245;1
38246;2
38247;1
38248;1
38252;1
38253;1
38254;1
38256;1
38258;1
38259;1
38262;1
38264;1
38265;1
38266;2
38268;2
38269;2
38271;2
38273;2
38275;1
38276;2
38561;1
39233;1
39792;2
39817;1
41476;1
41477;3
41491;1
41587;5
41939;2
42010;1
42011;1
42018;1
42021;1
42022;2
42023;2
42026;2
42027;1
42121;3
42143;1
42763;3
42764;5
43373;2
43376;3
43380;2
43381;1
43385;1
43386;2
43392;7
43396;3
43532;1
43539;1
43543;1
43711;1
43714;2
43715;1
43827;1
